10.1158/0008-5472.can-20-4010	Implications of enhancer transcription and eRNAs in cancer
30654687	MIR93 (microRNA -93) regulates tumorigenicity and therapy response of glioblastoma by targeting autophagy
30867410	The lncRNA TP73-AS1 is linked to aggressiveness in glioblastoma and promotes temozolomide resistance in glioblastoma cancer stem cells
30875963	MicroRNA-451 Inhibits Migration of Glioblastoma while Making It More Susceptible to Conventional Therapy
30890698	Zika virus infection induces MiR34c expression in glioblastoma stem cells: new perspectives for brain tumor treatments
30949502	"Long Noncoding RNA ASB16-AS1 Promotes Proliferation, Migration, and Invasion in Glioma Cells"
31101062	Glioma stem cells-derived exosomal miR-26a promotes angiogenesis of microvessel endothelial cells in glioma
31116627	HMGA1 negatively regulates NUMB expression at transcriptional and post transcriptional level in glioblastoma stem cells
31119182	Identification of Potential Biomarkers in Glioblastoma through Bioinformatic Analysis and Evaluating Their Prognostic Value
31263273	Smoothened stimulation by membrane sterols drives Hedgehog pathway activity
31369952	"The interplay of Patched, Smoothened and cholesterol in Hedgehog signaling"
31440081	MicroRNA 145 enhances chemosensitivity of glioblastoma stem cells to demethoxycurcumin
31482267	MicroRNA-29a inhibits glioblastoma stem cells and tumor growth by regulating the PDGF pathway
31511040	circPTN sponges miR-145-5p/miR-330-5p to promote proliferation and stemness in glioma
31534499	The miR-26a/AP-2?/Nanog signaling axis mediates stem cell self-renewal and temozolomide resistance in glioma
31599491	TGF-?-activated lncRNA LINC00115 is a critical regulator of glioma stem-like cell tumorigenicity
31675094	CBTRUS Statistical Report: Primary Brain and Other Central Nervous System Tumors Diagnosed in the United States in 2012-2016
31691127	Long Noncoding RNA HOTAIRM1 Maintains Tumorigenicity of Glioblastoma Stem-Like Cells Through Regulation of HOX Gene Expression
31891366	Interfering with long non-coding RNA MIR22HG processing inhibits glioblastoma progression through suppression of Wnt/?-catenin signalling
32009256	miR-150-5p suppresses the stem cell-like characteristics of glioma cells by targeting the Wnt/?-catenin signaling pathway
32062354	MiR-18a-downregulated RORA inhibits the proliferation and tumorigenesis of glioma using the TNF-?-mediated NF-?B signaling pathway
32067282	MicroRNA-30a suppresses self-renewal and tumorigenicity of glioma stem cells by blocking the NT5E-dependent Akt signaling pathway
32094299	A Sox2:miR-486-5p Axis Regulates Survival of GBM Cells by Inhibiting Tumor Suppressor Networks
32117213	Extracellular Vesicle lncRNA Metastasis-Associated Lung Adenocarcinoma Transcript 1 Released From Glioma Stem Cells Modulates the Inflammatory Response of Microglia After Lipopolysaccharide Stimulation Through Regulating miR-129-5p/High Mobility Group Box-1 Protein Axis
32252802	Cullin-7 (CUL7) is overexpressed in glioma cells and promotes tumorigenesis via NF-?B activation
32258388	A Glioblastoma Genomics Primer for Clinicians
32361246	Radiation-induced extracellular vesicle (EV) release of miR-603 promotes IGF1-mediated stem cell state in glioblastomas
32443824	Mir-370-3p Impairs Glioblastoma Stem-Like Cell Malignancy Regulating a Complex Interplay between HMGA2/HIF1A and the Oncogenic Long Non-Coding RNA (lncRNA) NEAT1
32459347	Deregulated expression of the imprinted DLK1-DIO3 region in glioblastoma stemlike cells: tumor suppressor role of lncRNA MEG3
32555332	"Profiling cytotoxic microRNAs in pediatric and adult glioblastoma cells by high-content screening, identification, and validation of miR-1300"
32632040	MiR-146b-5p suppresses the malignancy of GSC/MSC fusion cells by targeting SMARCA5
32725633	Phospholipase D1 inhibition sensitizes glioblastoma to temozolomide and suppresses its tumorigenicity
32894165	The U2AF2 /circRNA ARF1/miR-342-3p/ISL2 feedback loop regulates angiogenesis in glioma stem cells
32905473	"miR-425-5p, a SOX2 target, regulates the expression of FOXJ3 and RAB31 and promotes the survival of GSCs"
32945237	MicroRNA miR-100 Decreases Glioblastoma Growth by Targeting SMARCA5 and ErbB3 in Tumor-Initiating Cells
32973101	A Novel miR-146a-POU3F2/SMARCA5 Pathway Regulates Stemness and Therapeutic Response in Glioblastoma
33057597	LncRNA NEAT1 promotes malignant phenotypes and TMZ resistance in glioblastoma stem cells by regulating let-7g-5p/MAP3K1 axis
33093452	miR-504 modulates the stemness and mesenchymal transition of glioma stem cells and their interaction with microglia via delivery by extracellular vesicles
33158815	Hypoxic Glioma Stem Cell-Derived Exosomes Containing Linc01060 Promote Progression of Glioma by Regulating the MZF1/c-Myc/HIF1? Axis
33187334	"Analysis of miR-9-5p, miR-124-3p, miR-21-5p, miR-138-5p, and miR-1-3p in Glioblastoma Cell Lines and Extracellular Vesicles"
33408780	Extracellular vesicles derived from hypoxic glioma stem-like cells confer temozolomide resistance on glioblastoma by delivering miR-30b-3p
33446260	A novel protein encoded by circular SMO RNA is essential for Hedgehog signaling activation and glioblastoma tumorigenicity
33664496	Circular RNA-encoded oncogenic E-cadherin variant promotes glioblastoma tumorigenicity through activation of EGFR-STAT3 signalling
33694060	The LncRNA RP11-279C4.1 Enhances the Malignant Behaviour of Glioma Cells and Glioma Stem-Like Cells by Regulating the miR-1273g-3p/CBX3 Axis
33762015	Role of glioblastoma stem cells in cancer therapeutic resistance: a perspective on antineoplastic agents from natural sources and chemical derivatives
33789359	Long noncoding RNA SNHG9 facilitates growth of glioma stem-like cells via miR-326/SOX9 axis
33816233	HOTAIRM1 Promotes Malignant Progression of Transformed Fibroblasts in Glioma Stem-Like Cells Remodeled Microenvironment via Regulating miR-133b-3p/TGF? Axis
33858489	The SRSF1/circATP5B/miR-185-5p/HOXB5 feedback loop regulates the proliferation of glioma stem cells via the IL6-mediated JAK2/STAT3 signaling pathway
34017077	FMR1/circCHAF1A/miR-211-5p/HOXC8 feedback loop regulates proliferation and tumorigenesis via MDM2-dependent p53 signaling in GSCs
34036375	lncRNA TUG1 inhibits the cancer stem cell?like properties of temozolomide?resistant glioma cells by interacting with EZH2
34134771	Exosomal SNHG16 secreted by CSCs promotes glioma development via TLR7
34168916	circMELK promotes glioblastoma multiforme cell tumorigenesis through the miR-593/EphB2 axis
34233294	Glioma stem cell-derived exosomal miR-944 reduces glioma growth and angiogenesis by inhibiting AKT/ERK signaling
34512162	miR-139/PDE2A-Notch1 feedback circuit represses stemness of gliomas by inhibiting Wnt/?-catenin signaling
34689806	Bioinformatics analysis reveals a stem cell-expressed circ-Serpine2-mediated miRNA-mRNA regulatory subnetwork in the malignant progression of glioma
34805277	A Pan-Cancer Landscape of HOX-Related lncRNAs and Their Association With Prognosis and Tumor Microenvironment
